,Unnamed: 0,File directory,File name,Dimension(filtered),N(sample),N(filtered feature),Repetition Rate,File directory(CEB server/Iris),,"In RegPA, experiments were done in two times, once with  50<=size<=300, once with 300<=size<=500. One of datasets of size 300 got double counted. 8 datasets got replaced with other datasets with the same last 8 digit in filenames. Hence, there are 704 datasets for RegPA results.",
61,61,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2286.csv,data_CHEMBL2286.csv,"(30, 50)",30,50,0.066666667,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2286.csv,,,
348,348,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL4785.csv,data_CHEMBL4785.csv,"(30, 52)",30,52,0.133333333,/home/iris/PA/qsar_data_unsorted/data_CHEMBL4785.csv,,,
412,412,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2281.csv,data_CHEMBL2281.csv,"(30, 50)",30,50,0.366666667,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2281.csv,,,
565,565,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL4181.csv,data_CHEMBL4181.csv,"(30, 54)",30,54,0.033333333,/home/iris/PA/qsar_data_unsorted/data_CHEMBL4181.csv,,,
611,611,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1907606.csv,data_CHEMBL1907606.csv,"(30, 116)",30,116,0.1,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1907606.csv,,,
758,758,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL4091.csv,data_CHEMBL4091.csv,"(30, 48)",30,48,0.1,/home/iris/PA/qsar_data_unsorted/data_CHEMBL4091.csv,,,
773,773,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL4867.csv,data_CHEMBL4867.csv,"(30, 86)",30,86,0.166666667,/home/iris/PA/qsar_data_unsorted/data_CHEMBL4867.csv,,,
785,785,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL5990.csv,data_CHEMBL5990.csv,"(30, 54)",30,54,0.033333333,/home/iris/PA/qsar_data_unsorted/data_CHEMBL5990.csv,,,
923,923,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL4693.csv,data_CHEMBL4693.csv,"(30, 45)",30,45,0.133333333,/home/iris/PA/qsar_data_unsorted/data_CHEMBL4693.csv,,,
946,946,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1770047.csv,data_CHEMBL1770047.csv,"(30, 51)",30,51,0.066666667,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1770047.csv,,,
979,979,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL5558.csv,data_CHEMBL5558.csv,"(30, 88)",30,88,0.033333333,/home/iris/PA/qsar_data_unsorted/data_CHEMBL5558.csv,,,
1013,1013,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1795181.csv,data_CHEMBL1795181.csv,"(30, 69)",30,69,0.5,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1795181.csv,,,
1098,1098,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2111394.csv,data_CHEMBL2111394.csv,"(30, 56)",30,56,0.066666667,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2111394.csv,,,
1125,1125,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3858.csv,data_CHEMBL3858.csv,"(30, 43)",30,43,0.133333333,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3858.csv,,,
1202,1202,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2602.csv,data_CHEMBL2602.csv,"(30, 62)",30,62,0.033333333,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2602.csv,,,
1309,1309,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL5350.csv,data_CHEMBL5350.csv,"(30, 46)",30,46,0.333333333,/home/iris/PA/qsar_data_unsorted/data_CHEMBL5350.csv,,,
1395,1395,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1944490.csv,data_CHEMBL1944490.csv,"(30, 21)",30,21,0.166666667,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1944490.csv,,,
1443,1443,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL5431.csv,data_CHEMBL5431.csv,"(30, 32)",30,32,0.466666667,/home/iris/PA/qsar_data_unsorted/data_CHEMBL5431.csv,,,
1550,1550,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3595.csv,data_CHEMBL3595.csv,"(30, 96)",30,96,0.066666667,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3595.csv,,,
1552,1552,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL5866.csv,data_CHEMBL5866.csv,"(30, 169)",30,169,0.4,/home/iris/PA/qsar_data_unsorted/data_CHEMBL5866.csv,,,
1564,1564,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL4013.csv,data_CHEMBL4013.csv,"(30, 50)",30,50,0.066666667,/home/iris/PA/qsar_data_unsorted/data_CHEMBL4013.csv,,,
